# RD-05 Stratologger 2016-05-06
# t(s)	h (m)
42.35	2009.5464
42.4	2008.632
42.45	2008.3272
42.5	2008.0224
42.55	2008.0224
42.6	2007.7176
42.65	2007.108
42.7	2007.108
42.75	2006.8032
42.8	2006.8032
42.85	2006.4984
42.9	2005.8888
42.95	2005.584
43	2004.9744
43.05	2005.584
43.1	2004.06
43.15	2005.2792
43.2	2004.3648
43.25	2004.06
43.3	2004.06
43.35	2004.3648
43.4	2002.8408
43.45	2002.2312
43.5	2002.2312
43.55	2001.3168
43.6	2001.6216
43.65	2001.012
43.7	2000.7072
43.75	2001.012
43.8	2000.4024
43.85	2000.7072
43.9	2000.4024
43.95	2000.0976
44	1998.8784
44.05	1999.488
44.1	1999.1832
44.15	1998.2688
44.2	1998.2688
44.25	1997.6592
44.3	1997.6592
44.35	1996.7448
44.4	1996.7448
44.45	1995.8304
44.5	1996.1352
44.55	1995.8304
44.6	1995.2208
44.65	1994.6112
44.7	1995.2208
44.75	1994.3064
44.8	1994.6112
44.85	1994.0016
44.9	1993.0872
44.95	1993.6968
45	1993.0872
45.05	1993.0872
45.1	1992.4776
45.15	1992.4776
45.2	1992.7824
45.25	1991.868
45.3	1991.5632
45.35	1990.6488
45.4	1991.2584
45.45	1990.0392
45.5	1990.344
45.55	1990.0392
45.6	1989.4296
45.65	1988.5152
45.7	1988.5152
45.75	1988.2104
45.8	1987.6008
45.85	1987.6008
45.9	1987.6008
45.95	1987.296
46	1986.9912
46.05	1986.3816
46.1	1986.3816
46.15	1986.6864
46.2	1985.772
46.25	1985.772
46.3	1985.4672
46.35	1985.1624
46.4	1984.248
46.45	1984.5528
46.5	1983.9432
46.55	1983.9432
46.6	1983.3336
46.65	1983.3336
46.7	1983.0288
46.75	1983.3336
46.8	1982.4192
46.85	1981.8096
46.9	1981.2
46.95	1980.5904
47	1980.8952
47.05	1980.5904
47.1	1979.9808
47.15	1980.5904
47.2	1980.2856
47.25	1980.2856
47.3	1979.676
47.35	1979.3712
47.4	1978.7616
47.45	1978.152
47.5	1978.152
47.55	1977.8472
47.6	1977.5424
47.65	1977.5424
47.7	1976.3232
47.75	1976.628
47.8	1976.0184
47.85	1976.0184
47.9	1976.0184
47.95	1975.104
48	1974.7992
48.05	1974.7992
48.1	1974.4944
48.15	1973.8848
48.2	1973.58
48.25	1973.8848
48.3	1973.2752
48.35	1972.9704
48.4	1972.3608
48.45	1972.6656
48.5	1972.056
48.55	1971.4464
48.6	1971.7512
48.65	1971.7512
48.7	1971.1416
48.75	1970.8368
48.8	1970.8368
48.85	1970.532
48.9	1970.2272
48.95	1969.3128
49	1969.6176
49.05	1969.3128
49.1	1969.008
49.15	1968.0936
49.2	1967.7888
49.25	1967.1792
49.3	1967.1792
49.35	1966.8744
49.4	1966.8744
49.45	1966.2648
49.5	1966.2648
49.55	1965.96
49.6	1965.3504
49.65	1965.3504
49.7	1964.7408
49.75	1964.7408
49.8	1963.5216
49.85	1963.2168
49.9	1962.912
49.95	1962.6072
50	1962.3024
50.05	1961.6928
50.1	1961.6928
50.15	1961.9976
50.2	1960.7784
50.25	1960.7784
50.3	1960.7784
50.35	1960.4736
50.4	1960.7784
50.45	1959.864
50.5	1959.2544
50.55	1959.2544
50.6	1958.34
50.65	1958.9496
50.7	1958.0352
50.75	1957.7304
50.8	1957.4256
50.85	1957.1208
50.9	1956.816
50.95	1956.5112
51	1956.5112
51.05	1956.5112
51.1	1956.2064
51.15	1955.9016
51.2	1955.5968
51.25	1955.292
51.3	1954.6824
51.35	1954.9872
51.4	1953.4632
51.45	1953.768
51.5	1952.8536
51.55	1952.8536
51.6	1952.5488
51.65	1951.6344
51.7	1952.244
51.75	1950.4152
51.8	1951.0248
51.85	1951.0248
51.9	1950.72
51.95	1951.3296
52	1950.4152
52.05	1950.1104
52.1	1950.1104
52.15	1949.196
52.2	1949.196
52.25	1948.2816
52.3	1947.9768
52.35	1948.2816
52.4	1947.3672
52.45	1947.0624
52.5	1946.4528
52.55	1946.4528
52.6	1945.8432
52.65	1945.5384
52.7	1945.2336
52.75	1945.5384
52.8	1945.2336
52.85	1944.0144
52.9	1944.3192
52.95	1943.4048
53	1943.4048
53.05	1942.4904
