#Netuno-R-B/Galateia-4			LT 20 Nov 2022		StratoLoggerCF (SL-9)
#t(s)	h (m)
54.25	-6.7056
54.3	-6.4008
54.35	-6.4008
54.4	-6.7056
54.45	-7.0104
54.5	-7.0104
54.55	-6.4008
54.6	-6.7056
54.65	-7.0104
54.7	-6.7056
54.75	-6.7056
54.8	-6.7056
54.85	-6.7056
54.9	-6.7056
54.95	-6.4008
55	-6.7056
55.05	-6.7056
55.1	-6.7056
55.15	-6.096
55.2	-6.4008
55.25	-6.7056
55.3	-6.7056
55.35	-6.7056
55.4	-6.096
55.45	-6.4008
55.5	-6.4008
55.55	-6.7056
55.6	-6.096
55.65	-6.7056
55.7	-6.7056
55.75	-6.7056
55.8	-6.7056
55.85	-6.7056
55.9	-6.4008
55.95	-6.096
56	-6.096
56.05	-6.4008
56.1	-6.7056
56.15	-6.096
56.2	-6.4008
56.25	-6.4008
56.3	-6.4008
56.35	-6.4008
56.4	-6.7056
56.45	-6.4008
56.5	-6.7056
56.55	-6.7056
56.6	-6.7056
56.65	-6.7056
56.7	-7.0104
56.75	-6.7056
56.8	-6.7056
56.85	-6.7056
56.9	-6.4008
56.95	-6.7056
57	-6.7056
57.05	-7.0104
57.1	-6.7056
57.15	-6.7056
57.2	-6.4008
57.25	-7.0104
57.3	-6.7056
57.35	-6.7056
57.4	-6.7056
57.45	-6.7056
57.5	-6.4008
57.55	-6.7056
