# Netuno-F/Galateia-1			LT 12 Jun 2022		StratoLoggerCF (SL-8)	
#t(s)	h (m)
43.15	24.9936
43.2	24.0792
43.25	23.7744
43.3	24.0792
43.35	23.7744
43.4	23.4696
43.45	22.86
43.5	22.2504
43.55	21.9456
43.6	21.9456
43.65	21.0312
43.7	20.4216
43.75	19.812
43.8	19.812
43.85	20.1168
43.9	19.2024
43.95	19.5072
44	18.8976
44.05	18.288
44.1	17.6784
44.15	17.3736
44.2	17.0688
44.25	16.1544
44.3	16.1544
44.35	15.8496
44.4	15.5448
44.45	15.8496
44.5	15.8496
44.55	15.5448
44.6	14.9352
44.65	14.6304
44.7	14.0208
44.75	13.4112
44.8	12.8016
44.85	12.4968
44.9	12.4968
44.95	12.192
45	11.8872
45.05	11.2776
45.1	10.9728
45.15	10.3632
45.2	10.3632
45.25	9.4488
45.3	9.7536
45.35	9.144
45.4	8.8392
45.45	8.8392
45.5	7.3152
45.55	7.3152
45.6	7.0104
45.65	6.096
45.7	6.096
45.75	5.4864
45.8	5.7912
45.85	5.4864
45.9	5.7912
45.95	4.572
46	4.572
46.05	3.3528
46.1	2.7432
46.15	2.4384
46.2	1.8288
46.25	1.524
46.3	0.9144
46.35	0
46.4	-0.3048
46.45	-0.3048
46.5	0.6096
46.55	0.6096
46.6	0.3048
46.65	-0.3048
46.7	-0.3048
46.75	0
46.8	-0.3048
46.85	0
46.9	0
46.95	-0.6096
47	0
47.05	-0.3048
47.1	-0.3048
47.15	-0.3048
47.2	0.3048
47.25	-0.3048
47.3	0.3048
47.35	-0.3048
47.4	0.3048
47.45	-0.3048
47.5	0
47.55	-0.3048
47.6	0
47.65	-0.3048
47.7	-0.3048
47.75	-0.3048
47.8	-0.3048
47.85	-0.3048
47.9	-0.3048
47.95	-0.3048
48	-0.3048
48.05	-0.3048
48.1	-0.6096
48.15	-0.3048
48.2	-0.3048
48.25	-0.3048
48.3	-0.3048
48.35	-0.6096
48.4	-0.3048
48.45	0
48.5	-0.3048
48.55	-0.3048
48.6	0
48.65	-0.3048
48.7	0
48.75	0
48.8	-0.3048
48.85	-0.3048
48.9	-0.3048
48.95	-0.3048
49	0
49.05	0
49.1	-0.3048
49.15	0
49.2	-0.3048
49.25	-0.3048
49.3	-0.6096
49.35	0
49.4	-0.3048
49.45	0
49.5	0
49.55	-0.3048
49.6	0.3048
49.65	-0.3048
49.7	0
49.75	-0.3048
49.8	-0.3048
49.85	-0.3048
49.9	-0.3048
49.95	-0.6096
50	-0.6096
50.05	0.3048
50.1	-0.3048
50.15	-0.3048
50.2	0
50.25	0
50.3	0.3048
50.35	-0.3048
50.4	-0.3048
50.45	-0.3048
50.5	-0.3048
50.55	-0.3048
50.6	0
50.65	-0.3048
50.7	-0.3048
50.75	-0.3048
50.8	0
50.85	0
50.9	-0.3048
50.95	-0.3048
51	-0.3048
51.05	-0.3048
51.1	-0.6096
51.15	0
51.2	-0.6096
51.25	-0.9144
51.3	-0.3048
51.35	0
51.4	-0.3048
51.45	-0.3048
51.5	-0.3048
51.55	-0.3048
51.6	-0.3048
51.65	-0.3048
51.7	-0.3048
51.75	-0.9144
51.8	-0.3048
51.85	0
51.9	-0.3048
51.95	-0.3048
52	-0.6096
52.05	-0.3048
52.1	-0.3048
52.15	-0.6096
52.2	-0.3048
52.25	0
52.3	-0.6096
52.35	-0.3048
52.4	-0.6096
52.45	-0.3048
52.5	-0.3048
52.55	-0.6096
52.6	-0.3048
52.65	-0.3048
52.7	-0.3048
52.75	-0.6096
52.8	-0.3048
52.85	-0.3048
52.9	-0.6096
52.95	-0.3048
53	-0.3048
53.05	-0.3048
53.1	-0.3048
53.15	-0.6096
53.2	-0.3048
53.25	-0.3048
53.3	0
53.35	-0.3048
53.4	-0.3048
53.45	-0.6096
53.5	-0.6096
53.55	-0.3048
53.6	-0.9144
53.65	-0.3048
53.7	-0.3048
53.75	-0.6096
53.8	-0.3048
53.85	-0.6096
53.9	0
53.95	-0.3048
54	-0.3048
54.05	-0.3048
54.1	0
54.15	-0.3048
54.2	-0.3048
54.25	-0.6096
54.3	-0.6096
54.35	-0.3048
54.4	-0.3048
54.45	-0.6096
54.5	-0.3048
54.55	-0.3048
54.6	-0.3048
54.65	-0.3048
54.7	-0.6096
54.75	-0.3048
54.8	-0.6096
54.85	-0.6096
54.9	-0.3048
54.95	-0.3048
55	-0.6096
55.05	-0.6096
55.1	-0.3048
55.15	-0.6096
