#Saturno-Alfa-2/Titã-3			LT 29 Jan 2023		StratoLoggerCF (SL-8)
#t(s)	h (m)
29.55	828.7512
29.6	827.532
29.65	826.008
29.7	826.008
29.75	824.7888
29.8	824.484
29.85	824.1792
29.9	823.5696
29.95	823.2648
30	822.96
30.05	822.6552
30.1	823.5696
30.15	822.6552
30.2	822.96
30.25	821.7408
30.3	820.8264
30.35	819.3024
30.4	818.6928
30.45	818.0832
30.5	816.864
30.55	815.9496
30.6	815.0352
30.65	814.7304
30.7	814.4256
30.75	814.1208
30.8	813.5112
30.85	813.2064
30.9	812.5968
30.95	811.9872
31	811.3776
31.05	810.4632
31.1	810.1584
31.15	811.6824
31.2	809.8536
31.25	809.5488
31.3	810.4632
31.35	809.244
31.4	808.9392
31.45	807.72
31.5	807.1104
31.55	806.5008
31.6	806.196
31.65	804.672
31.7	804.3672
31.75	803.4528
31.8	802.5384
31.85	802.5384
31.9	801.9288
31.95	801.624
32	800.7096
32.05	800.1
32.1	799.4904
32.15	799.4904
32.2	798.2712
32.25	798.576
32.3	798.8808
32.35	799.1856
32.4	798.576
32.45	797.052
32.5	795.8328
32.55	796.1376
32.6	794.9184
32.65	794.004
32.7	794.004
32.75	793.0896
32.8	792.1752
32.85	791.8704
32.9	790.956
32.95	790.3464
33	790.0416
33.05	789.432
33.1	788.5176
33.15	787.6032
33.2	787.908
33.25	786.9936
33.3	787.2984
33.35	787.6032
33.4	785.1648
33.45	785.4696
33.5	784.2504
33.55	785.1648
33.6	783.9456
33.65	782.4216
33.7	782.7264
33.75	782.1168
33.8	781.5072
33.85	780.5928
33.9	780.288
33.95	779.3736
34	778.4592
34.05	778.764
34.1	778.4592
34.15	777.8496
34.2	777.5448
34.25	776.3256
34.3	775.1064
34.35	774.8016
34.4	774.4968
34.45	773.5824
34.5	774.4968
34.55	774.192
34.6	773.5824
34.65	772.668
34.7	771.7536
34.75	770.8392
34.8	769.62
34.85	768.7056
34.9	768.096
34.95	767.4864
35	766.8768
35.05	767.1816
35.1	767.1816
35.15	766.572
35.2	766.2672
35.25	765.6576
35.3	764.7432
35.35	763.8288
35.4	763.2192
35.45	762.6096
35.5	762.6096
35.55	763.524
35.6	763.524
35.65	762.6096
35.7	763.2192
35.75	761.3904
35.8	759.8664
35.85	757.7328
35.9	757.1232
35.95	755.904
36	754.9896
36.05	754.6848
36.1	755.2944
36.15	754.6848
36.2	754.38
36.25	753.4656
36.3	751.6368
36.35	750.7224
36.4	750.4176
36.45	750.1128
36.5	750.1128
36.55	750.7224
36.6	749.1984
36.65	749.5032
36.7	748.8936
36.75	749.1984
36.8	747.9792
36.85	747.9792
36.9	747.0648
36.95	745.5408
37	744.6264
37.05	743.4072
37.1	742.188
37.15	741.8832
37.2	741.2736
37.25	740.664
37.3	740.664
37.35	740.0544
37.4	739.7496
37.45	739.14
37.5	738.8352
37.55	738.2256
37.6	737.0064
37.65	736.7016
37.7	736.3968
37.75	735.7872
37.8	735.7872
37.85	735.1776
37.9	734.2632
37.95	734.2632
38	733.6536
38.05	734.8728
38.1	734.8728
38.15	733.9584
38.2	732.4344
38.25	731.8248
38.3	731.52
38.35	730.6056
38.4	728.1672
38.45	727.2528
38.5	726.0336
38.55	725.7288
38.6	724.5096
38.65	724.2048
38.7	723.9
38.75	723.5952
38.8	723.2904
38.85	722.6808
38.9	722.6808
38.95	722.6808
39	722.6808
39.05	721.4616
39.1	722.0712
39.15	720.852
39.2	720.5472
39.25	720.2424
39.3	720.2424
39.35	719.0232
39.4	718.1088
39.45	718.4136
39.5	716.8896
39.55	717.4992
39.6	715.3656
39.65	715.3656
39.7	715.0608
39.75	714.1464
39.8	713.232
39.85	712.3176
39.9	711.0984
39.95	709.2696
40	709.5744
40.05	708.66
40.1	707.136
40.15	706.8312
40.2	706.2216
40.25	706.2216
40.3	705.3072
40.35	705.0024
40.4	705.0024
40.45	704.6976
40.5	704.3928
40.55	704.088
40.6	704.088
40.65	703.4784
40.7	702.8688
40.75	702.8688
40.8	701.9544
40.85	701.9544
40.9	700.7352
40.95	699.8208
41	699.8208
41.05	698.9064
41.1	697.992
41.15	697.3824
41.2	696.1632
41.25	695.8584
41.3	696.1632
41.35	695.5536
41.4	694.3344
41.45	694.6392
41.5	694.6392
41.55	694.3344
41.6	694.0296
41.65	692.8104
41.7	691.5912
41.75	690.9816
41.8	690.6768
41.85	689.7624
41.9	689.1528
41.95	688.2384
42	687.6288
42.05	687.324
42.1	686.4096
42.15	686.4096
42.2	685.8
42.25	684.8856
42.3	684.5808
42.35	683.9712
42.4	684.276
42.45	683.9712
42.5	683.6664
42.55	682.752
42.6	682.4472
42.65	681.8376
42.7	681.228
42.75	680.9232
42.8	680.9232
42.85	680.3136
42.9	680.0088
42.95	679.3992
43	678.4848
43.05	678.4848
43.1	677.2656
43.15	676.0464
43.2	675.7416
43.25	675.132
43.3	674.5224
43.35	674.5224
43.4	673.608
43.45	673.3032
43.5	672.6936
43.55	672.084
43.6	672.084
43.65	671.4744
43.7	669.9504
43.75	669.9504
43.8	669.6456
43.85	668.4264
43.9	667.512
43.95	667.512
44	667.2072
44.05	666.5976
44.1	666.2928
44.15	665.6832
44.2	665.6832
44.25	664.7688
44.3	663.8544
44.35	663.5496
44.4	662.6352
44.45	661.7208
44.5	660.5016
44.55	659.2824
44.6	658.6728
44.65	658.368
44.7	657.7584
44.75	658.368
44.8	658.0632
44.85	658.6728
44.9	657.7584
44.95	658.368
45	657.7584
45.05	657.4536
45.1	656.5392
45.15	655.0152
45.2	653.1864
45.25	652.8816
45.3	652.8816
45.35	651.9672
45.4	651.6624
45.45	651.6624
45.5	653.796
45.55	651.3576
45.6	650.748
45.65	649.224
45.7	648.6144
45.75	647.0904
45.8	646.176
45.85	645.5664
45.9	644.652
45.95	644.9568
46	644.9568
46.05	644.652
46.1	644.0424
46.15	643.4328
46.2	642.8232
46.25	642.2136
46.3	641.2992
46.35	644.0424
46.4	642.8232
46.45	643.128
46.5	641.9088
46.55	641.2992
46.6	639.4704
46.65	637.9464
46.7	637.3368
46.75	636.1176
46.8	635.8128
46.85	636.1176
46.9	636.4224
46.95	636.4224
47	634.5936
47.05	633.6792
47.1	632.7648
47.15	631.5456
47.2	631.2408
47.25	630.3264
47.3	629.7168
47.35	630.6312
47.4	631.2408
47.45	630.936
47.5	630.6312
47.55	630.3264
47.6	628.4976
47.65	627.2784
47.7	626.9736
47.75	624.84
47.8	624.5352
47.85	624.5352
47.9	624.5352
47.95	624.5352
48	623.9256
48.05	623.9256
48.1	623.6208
48.15	623.0112
48.2	622.0968
48.25	621.1824
48.3	620.5728
48.35	619.9632
48.4	619.0488
48.45	618.4392
48.5	618.744
48.55	619.3536
48.6	618.1344
48.65	616.9152
48.7	616.3056
48.75	617.22
48.8	615.0864
